#x true_y pred_y
0.5095 0.529891 0.541456
0.51 0.537398 0.543564
0.5105 0.536453 0.545671
0.511 0.54953 0.547779
0.5115 0.549377 0.549886
0.512 0.549087 0.551994
0.5125 0.539187 0.554101
0.513 0.539079 0.556209
0.5135 0.552265 0.558316
0.514 0.547736 0.560424
0.5145 0.55303 0.562531
0.515 0.559893 0.564639
0.5155 0.559283 0.566746
0.516 0.566822 0.568854
0.5165 0.561062 0.570961
0.517 0.566367 0.573068
0.5175 0.556909 0.575176
0.518 0.56608 0.577283
0.5185 0.573594 0.579391
0.519 0.572907 0.581498
0.5195 0.572119 0.583606
0.52 0.580217 0.585713
0.5205 0.568723 0.587821
0.521 0.569449 0.589928
0.5215 0.581377 0.592036
0.522 0.573832 0.594143
0.5225 0.575718 0.596251
0.523 0.57625 0.598358
0.5235 0.590901 0.600466
0.524 0.597101 0.602573
0.5245 0.588798 0.60468
0.525 0.602147 0.606788
0.5255 0.601003 0.608895
0.526 0.60493 0.611003
0.5265 0.593551 0.61311
0.527 0.592548 0.615218
0.5275 0.599397 0.617325
0.528 0.6122 0.619433
0.5285 0.617739 0.62154
0.529 0.601045 0.623648
0.5295 0.604993 0.625755
0.53 0.608073 0.627863
0.5305 0.608847 0.62997
0.531 0.610252 0.632078
0.5315 0.627903 0.634185
0.532 0.631473 0.636293
0.5325 0.62289 0.6384
0.533 0.633386 0.640507
0.5335 0.627369 0.642617
0.534 0.633082 0.645163
0.5345 0.634354 0.647709
0.535 0.63787 0.650255
0.5355 0.634571 0.652802
0.536 0.637019 0.655348
0.5365 0.640074 0.657894
0.537 0.653225 0.66044
0.5375 0.65454 0.662987
0.538 0.648989 0.665533
0.5385 0.654339 0.668079
0.539 0.644257 0.670625
0.5395 0.648602 0.673172
0.54 0.647996 0.675718
0.5405 0.66601 0.678264
0.541 0.661306 0.68081
0.5415 0.653514 0.683356
0.542 0.657427 0.685903
0.5425 0.659628 0.688449
0.543 0.660337 0.690995
0.5435 0.669769 0.693541
0.544 0.682911 0.696088
0.5445 0.68641 0.698634
0.545 0.671437 0.70118
0.5455 0.673738 0.703726
0.546 0.688518 0.706273
0.5465 0.693267 0.708819
0.547 0.683561 0.711365
0.5475 0.698253 0.713911
0.548 0.69681 0.716457
0.5485 0.703677 0.719004
0.549 0.68905 0.72155
0.5495 0.694502 0.724096
0.55 0.696751 0.726642
0.5505 0.712377 0.729189
0.551 0.697212 0.731735
0.5515 0.713107 0.734281
0.552 0.710193 0.736827
0.5525 0.709195 0.739374
0.553 0.710693 0.74192
0.5535 0.72382 0.744466
0.554 0.723465 0.747012
0.5545 0.715255 0.749559
0.555 0.726779 0.752105
0.5555 0.736675 0.754651
0.556 0.727551 0.757197
0.5565 0.729887 0.759743
0.557 0.729407 0.76229
0.5575 0.729329 0.764836
0.558 0.734907 0.767382
0.5585 0.75029 0.769928
0.559 0.733558 0.772475
0.5595 0.746634 0.775021
0.56 0.757434 0.777567
0.5605 0.74957 0.780113
0.561 0.752274 0.78266
0.5615 0.756326 0.785206
0.562 0.761367 0.787752
0.5625 0.750867 0.790298
0.563 0.762079 0.792844
0.5635 0.759801 0.795391
0.564 0.766876 0.797937
0.5645 0.768167 0.800483
0.565 0.767617 0.803029
0.5655 0.780031 0.805576
0.566 0.777325 0.808122
0.5665 0.776779 0.810668
0.567 0.790771 0.813214
0.5675 0.790967 0.815761
0.568 0.797241 0.818307
0.5685 0.798065 0.820853
0.569 0.80125 0.823399
0.5695 0.795361 0.825945
0.57 0.79622 0.828492
0.5705 0.79586 0.831038
0.571 0.799477 0.833584
0.5715 0.796386 0.83613
0.572 0.799615 0.838677
0.5725 0.801148 0.841223
0.573 0.80838 0.843769
0.5735 0.806999 0.846315
0.574 0.827745 0.848862
0.5745 0.821157 0.851408
0.575 0.815665 0.853954
0.5755 0.834381 0.8565
0.576 0.831948 0.859047
0.5765 0.834666 0.861593
0.577 0.832582 0.864139
0.5775 0.826706 0.866685
0.578 0.841564 0.869231
0.5785 0.833453 0.871778
0.579 0.852075 0.874324
0.5795 0.854554 0.87687
0.58 0.851378 0.879416
0.5805 0.845563 0.881963
0.581 0.846746 0.884509
0.5815 0.861288 0.887055
0.582 0.852382 0.889601
0.5825 0.863683 0.892148
0.583 0.870816 0.894694
0.5835 0.870193 0.89724
0.584 0.878551 0.899786
0.5845 0.869673 0.902332
0.585 0.884508 0.904879
0.5855 0.872998 0.907425
0.586 0.891043 0.909971
0.5865 0.883545 0.912517
0.587 0.891202 0.915064
0.5875 0.885611 0.91761
0.588 0.883717 0.920156
0.5885 0.891391 0.922702
0.589 0.889903 0.925249
0.5895 0.909211 0.927795
0.59 0.893541 0.930341
0.5905 0.899825 0.932887
0.591 0.90156 0.935433
0.5915 0.919454 0.93798
0.592 0.915961 0.940526
0.5925 0.922179 0.943072
0.593 0.924143 0.945618
0.5935 0.922857 0.948165
0.594 0.922733 0.950711
0.5945 0.936051 0.953257
0.595 0.92862 0.955803
0.5955 0.934295 0.95835
